"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
4 Jul 2014 00:46:10.769,4 Jul 2014 00:46:19.329,8.560
4 Jul 2014 00:46:19.329,4 Jul 2014 01:21:32.041,2112.712
4 Jul 2014 01:21:32.041,4 Jul 2014 01:21:40.586,8.545
4 Jul 2014 02:23:20.332,4 Jul 2014 02:23:28.892,8.560
4 Jul 2014 02:23:28.892,4 Jul 2014 02:58:41.605,2112.712
4 Jul 2014 02:58:41.605,4 Jul 2014 02:58:50.150,8.545
4 Jul 2014 04:00:29.896,4 Jul 2014 04:00:38.457,8.560
4 Jul 2014 04:00:38.457,4 Jul 2014 04:35:51.171,2112.714
4 Jul 2014 04:35:51.171,4 Jul 2014 04:35:59.716,8.545
4 Jul 2014 05:37:39.462,4 Jul 2014 05:37:48.022,8.560
4 Jul 2014 05:37:48.022,4 Jul 2014 06:13:00.736,2112.714
4 Jul 2014 06:13:00.736,4 Jul 2014 06:13:09.281,8.545
4 Jul 2014 07:14:49.026,4 Jul 2014 07:14:57.587,8.560
4 Jul 2014 07:14:57.587,4 Jul 2014 07:50:10.301,2112.715
4 Jul 2014 07:50:10.301,4 Jul 2014 07:50:18.846,8.545
4 Jul 2014 08:51:58.591,4 Jul 2014 08:52:07.151,8.560
4 Jul 2014 08:52:07.151,4 Jul 2014 09:27:19.865,2112.714
4 Jul 2014 09:27:19.865,4 Jul 2014 09:27:28.410,8.545
4 Jul 2014 10:29:08.154,4 Jul 2014 10:29:16.714,8.560
4 Jul 2014 10:29:16.714,4 Jul 2014 11:04:29.430,2112.716
4 Jul 2014 11:04:29.430,4 Jul 2014 11:04:37.975,8.545
4 Jul 2014 12:06:17.718,4 Jul 2014 12:06:26.278,8.560
4 Jul 2014 12:06:26.278,4 Jul 2014 12:41:38.996,2112.717
4 Jul 2014 12:41:38.996,4 Jul 2014 12:41:47.540,8.545
4 Jul 2014 13:43:27.282,4 Jul 2014 13:43:35.843,8.560
4 Jul 2014 13:43:35.843,4 Jul 2014 14:18:48.561,2112.718
4 Jul 2014 14:18:48.561,4 Jul 2014 14:18:57.105,8.545
4 Jul 2014 15:20:36.847,4 Jul 2014 15:20:45.407,8.560
4 Jul 2014 15:20:45.407,4 Jul 2014 15:55:58.126,2112.719
4 Jul 2014 15:55:58.126,4 Jul 2014 15:56:06.670,8.545
4 Jul 2014 16:57:46.411,4 Jul 2014 16:57:54.971,8.560
4 Jul 2014 16:57:54.971,4 Jul 2014 17:33:07.691,2112.720
4 Jul 2014 17:33:07.691,4 Jul 2014 17:33:16.235,8.544
4 Jul 2014 18:34:55.976,4 Jul 2014 18:35:04.537,8.560
4 Jul 2014 18:35:04.537,4 Jul 2014 19:10:17.257,2112.720
4 Jul 2014 19:10:17.257,4 Jul 2014 19:10:25.802,8.544
4 Jul 2014 20:12:05.541,4 Jul 2014 20:12:14.101,8.560
4 Jul 2014 20:12:14.101,4 Jul 2014 20:47:26.822,2112.721
4 Jul 2014 20:47:26.822,4 Jul 2014 20:47:35.367,8.544
4 Jul 2014 21:49:15.105,4 Jul 2014 21:49:23.665,8.560
4 Jul 2014 21:49:23.665,4 Jul 2014 22:24:36.387,2112.722
4 Jul 2014 22:24:36.387,4 Jul 2014 22:24:44.932,8.544
4 Jul 2014 23:26:24.669,4 Jul 2014 23:26:33.229,8.560
4 Jul 2014 23:26:33.229,5 Jul 2014 00:01:45.952,2112.723
5 Jul 2014 00:01:45.952,5 Jul 2014 00:01:54.497,8.544
5 Jul 2014 01:03:34.233,5 Jul 2014 01:03:42.794,8.560
5 Jul 2014 01:03:42.794,5 Jul 2014 01:38:55.518,2112.724
5 Jul 2014 01:38:55.518,5 Jul 2014 01:39:04.062,8.544
5 Jul 2014 02:40:43.798,5 Jul 2014 02:40:52.358,8.560
5 Jul 2014 02:40:52.358,5 Jul 2014 03:16:05.083,2112.725
5 Jul 2014 03:16:05.083,5 Jul 2014 03:16:13.627,8.544
5 Jul 2014 04:17:53.362,5 Jul 2014 04:18:01.922,8.560
5 Jul 2014 04:18:01.922,5 Jul 2014 04:53:14.648,2112.726
5 Jul 2014 04:53:14.648,5 Jul 2014 04:53:23.192,8.544
5 Jul 2014 05:55:02.926,5 Jul 2014 05:55:11.486,8.560
5 Jul 2014 05:55:11.486,5 Jul 2014 06:30:24.213,2112.726
5 Jul 2014 06:30:24.213,5 Jul 2014 06:30:32.757,8.544
5 Jul 2014 07:32:12.490,5 Jul 2014 07:32:21.050,8.560
5 Jul 2014 07:32:21.050,5 Jul 2014 08:07:33.778,2112.727
5 Jul 2014 08:07:33.778,5 Jul 2014 08:07:42.322,8.544
5 Jul 2014 09:09:22.054,5 Jul 2014 09:09:30.614,8.560
5 Jul 2014 09:09:30.614,5 Jul 2014 09:44:43.343,2112.728
5 Jul 2014 09:44:43.343,5 Jul 2014 09:44:51.886,8.544
5 Jul 2014 10:46:31.618,5 Jul 2014 10:46:40.179,8.560
5 Jul 2014 10:46:40.179,5 Jul 2014 11:21:52.908,2112.729
5 Jul 2014 11:21:52.908,5 Jul 2014 11:22:01.451,8.544
5 Jul 2014 12:23:41.182,5 Jul 2014 12:23:49.743,8.560
5 Jul 2014 12:23:49.743,5 Jul 2014 12:59:02.473,2112.730
5 Jul 2014 12:59:02.473,5 Jul 2014 12:59:11.016,8.544
5 Jul 2014 14:00:50.746,5 Jul 2014 14:00:59.307,8.560
5 Jul 2014 14:00:59.307,5 Jul 2014 14:36:12.038,2112.731
5 Jul 2014 14:36:12.038,5 Jul 2014 14:36:20.581,8.544
5 Jul 2014 15:38:00.311,5 Jul 2014 15:38:08.871,8.560
5 Jul 2014 15:38:08.871,5 Jul 2014 16:13:21.603,2112.732
5 Jul 2014 16:13:21.603,5 Jul 2014 16:13:30.146,8.544
5 Jul 2014 17:15:09.875,5 Jul 2014 17:15:18.435,8.560
5 Jul 2014 17:15:18.435,5 Jul 2014 17:50:31.168,2112.733
5 Jul 2014 17:50:31.168,5 Jul 2014 17:50:39.711,8.543
5 Jul 2014 18:52:19.439,5 Jul 2014 18:52:27.999,8.560
5 Jul 2014 18:52:27.999,5 Jul 2014 19:27:40.732,2112.734
5 Jul 2014 19:27:40.732,5 Jul 2014 19:27:49.276,8.543
5 Jul 2014 20:29:29.003,5 Jul 2014 20:29:37.563,8.560
5 Jul 2014 20:29:37.563,5 Jul 2014 21:04:50.297,2112.734
5 Jul 2014 21:04:50.297,5 Jul 2014 21:04:58.841,8.543
5 Jul 2014 22:06:38.567,5 Jul 2014 22:06:47.127,8.560
5 Jul 2014 22:06:47.127,5 Jul 2014 22:41:59.862,2112.735
5 Jul 2014 22:41:59.862,5 Jul 2014 22:42:08.406,8.543
5 Jul 2014 23:43:48.131,5 Jul 2014 23:43:56.691,8.560
5 Jul 2014 23:43:56.691,6 Jul 2014 00:19:09.427,2112.736
6 Jul 2014 00:19:09.427,6 Jul 2014 00:19:17.970,8.543
6 Jul 2014 01:20:57.695,6 Jul 2014 01:21:06.255,8.560
6 Jul 2014 01:21:06.255,6 Jul 2014 01:56:18.992,2112.737
6 Jul 2014 01:56:18.992,6 Jul 2014 01:56:27.535,8.543
6 Jul 2014 02:58:07.259,6 Jul 2014 02:58:15.819,8.560
6 Jul 2014 02:58:15.819,6 Jul 2014 03:33:28.557,2112.738
6 Jul 2014 03:33:28.557,6 Jul 2014 03:33:37.100,8.543
6 Jul 2014 04:35:16.822,6 Jul 2014 04:35:25.383,8.560
6 Jul 2014 04:35:25.383,6 Jul 2014 05:10:38.122,2112.739
6 Jul 2014 05:10:38.122,6 Jul 2014 05:10:46.665,8.543
6 Jul 2014 06:12:26.386,6 Jul 2014 06:12:34.947,8.560
6 Jul 2014 06:12:34.947,6 Jul 2014 06:47:47.687,2112.740
6 Jul 2014 06:47:47.687,6 Jul 2014 06:47:56.230,8.543
6 Jul 2014 07:49:35.950,6 Jul 2014 07:49:44.511,8.560
6 Jul 2014 07:49:44.511,6 Jul 2014 08:24:57.252,2112.741
6 Jul 2014 08:24:57.252,6 Jul 2014 08:25:05.794,8.543
6 Jul 2014 09:26:45.514,6 Jul 2014 09:26:54.074,8.560
6 Jul 2014 09:26:54.074,6 Jul 2014 10:02:06.816,2112.742
6 Jul 2014 10:02:06.816,6 Jul 2014 10:02:15.359,8.543
6 Jul 2014 11:03:55.078,6 Jul 2014 11:04:03.638,8.560
6 Jul 2014 11:04:03.638,6 Jul 2014 11:39:16.381,2112.743
6 Jul 2014 11:39:16.381,6 Jul 2014 11:39:24.924,8.543
6 Jul 2014 12:41:04.642,6 Jul 2014 12:41:13.202,8.560
6 Jul 2014 12:41:13.202,6 Jul 2014 13:16:25.946,2112.744
6 Jul 2014 13:16:25.946,6 Jul 2014 13:16:34.489,8.543
6 Jul 2014 14:18:14.206,6 Jul 2014 14:18:22.766,8.560
6 Jul 2014 14:18:22.766,6 Jul 2014 14:53:35.511,2112.745
6 Jul 2014 14:53:35.511,6 Jul 2014 14:53:44.053,8.543
6 Jul 2014 15:55:23.770,6 Jul 2014 15:55:32.330,8.560
6 Jul 2014 15:55:32.330,6 Jul 2014 16:30:45.076,2112.746
6 Jul 2014 16:30:45.076,6 Jul 2014 16:30:53.618,8.543
6 Jul 2014 17:32:33.333,6 Jul 2014 17:32:41.894,8.560
6 Jul 2014 17:32:41.894,6 Jul 2014 18:07:54.640,2112.747
6 Jul 2014 18:07:54.640,6 Jul 2014 18:08:03.183,8.542
6 Jul 2014 19:09:42.897,6 Jul 2014 19:09:51.457,8.560
6 Jul 2014 19:09:51.457,6 Jul 2014 19:45:04.205,2112.748
6 Jul 2014 19:45:04.205,6 Jul 2014 19:45:12.748,8.542
6 Jul 2014 20:46:52.461,6 Jul 2014 20:47:01.021,8.560
6 Jul 2014 20:47:01.021,6 Jul 2014 21:22:13.770,2112.749
6 Jul 2014 21:22:13.770,6 Jul 2014 21:22:22.312,8.542
6 Jul 2014 22:24:02.025,6 Jul 2014 22:24:10.585,8.560
6 Jul 2014 22:24:10.585,6 Jul 2014 22:59:23.335,2112.750
6 Jul 2014 22:59:23.335,6 Jul 2014 22:59:31.877,8.542
7 Jul 2014 00:01:11.589,7 Jul 2014 00:01:20.149,8.560
7 Jul 2014 00:01:20.149,7 Jul 2014 00:36:32.899,2112.751
7 Jul 2014 00:36:32.899,7 Jul 2014 00:36:41.442,8.542
7 Jul 2014 01:38:21.152,7 Jul 2014 01:38:29.713,8.560
7 Jul 2014 01:38:29.713,7 Jul 2014 02:13:42.464,2112.752
7 Jul 2014 02:13:42.464,7 Jul 2014 02:13:51.006,8.542
7 Jul 2014 03:15:30.716,7 Jul 2014 03:15:39.276,8.560
7 Jul 2014 03:15:39.276,7 Jul 2014 03:50:52.029,2112.753
7 Jul 2014 03:50:52.029,7 Jul 2014 03:51:00.571,8.542
7 Jul 2014 04:52:40.280,7 Jul 2014 04:52:48.840,8.560
7 Jul 2014 04:52:48.840,7 Jul 2014 05:28:01.594,2112.754
7 Jul 2014 05:28:01.594,7 Jul 2014 05:28:10.136,8.542
7 Jul 2014 06:29:49.843,7 Jul 2014 06:29:58.404,8.560
7 Jul 2014 06:29:58.404,7 Jul 2014 07:05:11.158,2112.755
7 Jul 2014 07:05:11.158,7 Jul 2014 07:05:19.700,8.542
7 Jul 2014 08:06:59.407,7 Jul 2014 08:07:07.967,8.560
7 Jul 2014 08:07:07.967,7 Jul 2014 08:42:20.723,2112.756
7 Jul 2014 08:42:20.723,7 Jul 2014 08:42:29.265,8.542
7 Jul 2014 09:44:08.971,7 Jul 2014 09:44:17.531,8.560
7 Jul 2014 09:44:17.531,7 Jul 2014 10:19:30.288,2112.757
7 Jul 2014 10:19:30.288,7 Jul 2014 10:19:38.830,8.542
7 Jul 2014 11:21:18.534,7 Jul 2014 11:21:27.095,8.560
7 Jul 2014 11:21:27.095,7 Jul 2014 11:56:39.852,2112.758
7 Jul 2014 11:56:39.852,7 Jul 2014 11:56:48.394,8.542
7 Jul 2014 12:58:28.098,7 Jul 2014 12:58:36.658,8.560
7 Jul 2014 12:58:36.658,7 Jul 2014 13:33:49.417,2112.759
7 Jul 2014 13:33:49.417,7 Jul 2014 13:33:57.959,8.542
7 Jul 2014 14:35:37.662,7 Jul 2014 14:35:46.222,8.560
7 Jul 2014 14:35:46.222,7 Jul 2014 15:10:58.982,2112.760
7 Jul 2014 15:10:58.982,7 Jul 2014 15:11:07.523,8.542
7 Jul 2014 16:12:47.225,7 Jul 2014 16:12:55.785,8.560
7 Jul 2014 16:12:55.785,7 Jul 2014 16:48:08.546,2112.761
7 Jul 2014 16:48:08.546,7 Jul 2014 16:48:17.088,8.542
7 Jul 2014 17:49:56.789,7 Jul 2014 17:50:05.349,8.560
7 Jul 2014 17:50:05.349,7 Jul 2014 18:25:18.111,2112.762
